building_id,name,lat,lng
igb_gatehouse,IGB Gatehouse,40.1050794,-88.2253008
ice_arena,Ice Arena,40.1058673,-88.2325373
illini_manor,Illini Manor,40.1066306,-88.2330449
illini_plastics_supply,Illini Plastics Supply,40.1150949,-88.2389498
illini_smiles,Illini Smiles,40.1124056,-88.2471325
illini_tower,Illini Tower,40.1064504,-88.2323607
illini_union,Illini Union,40.1094007,-88.2272548
illini_union_bookstore,Illini Union Bookstore,40.1083195,-88.229252
illinois_terminal,Illinois Terminal,40.115804,-88.241144
impact_physical_therapy,Impact Physical Therapy,40.1100162,-88.2424529
impactlife,ImpactLife,40.1166554,-88.2279983
institute_for_genomic_biology_igb,Institute for Genomic Biology (IGB),40.104787,-88.2248764
institute_of_government_and_public_affairs,Institute of Government and Public Affairs,40.1056473,-88.2212987
international_studies_building,International Studies Building,40.1072121,-88.2316475
ippatsu_salon,Ippatsu Salon,40.1154962,-88.23923
irwin_academic_center,Irwin Academic Center,40.1057534,-88.2331279
irwin_doctoral_study_hall,Irwin Doctoral Study Hall,40.1039865,-88.2294909
irwin_indoor_football_facility,Irwin Indoor Football Facility,40.1006644,-88.234173
ittonken,Ittonken,40.1076828,-88.2439217
jj_s_luggage_shoe_repair,JJ's Luggage & Shoe Repair,40.115778,-88.2431238
jsj_property_management,JSJ Property Management,40.112835,-88.2473232
jsm_office,JSM Office,40.1120499,-88.2324115
jane_addams_book_shop,Jane Addams Book Shop,40.1176471,-88.2432922
jarling_s_custard_cup,Jarling's Custard Cup,40.0977314,-88.2477219
jazzie_looks,Jazzie Looks,40.1170934,-88.2385124
joe_s_brewery,Joe's Brewery,40.1097964,-88.2317834
johnstowne,Johnstowne,40.1092536,-88.2315593
jon_s_pipe_shop,Jon's Pipe Shop,40.116548,-88.2414617
kams,KAMS,40.1104338,-88.2382756
kappa_alpha_theta,Kappa Alpha Theta,40.1077229,-88.2292432
kappa_delta_ro_fraternity,Kappa Delta Ro Fraternity,40.1045769,-88.2372656
kappa_delta_sorority,Kappa Delta Sorority,40.1056277,-88.2376378
kappa_kappa_gamma_sorority_house,Kappa Kappa Gamma Sorority House,40.1034722,-88.2187894
kappa_sigma,Kappa Sigma,40.1082622,-88.2356887
kavita_and_lalit_bahl_smart_bridge,Kavita and Lalit Bahl Smart Bridge,40.1144144,-88.2263008
kenney_gymnasium,Kenney Gymnasium,40.1130542,-88.2282948
kenney_gymnasium_annex,Kenney Gymnasium Annex,40.1131294,-88.2276653
korean_church_of_champaign_urbana,Korean Church of Champaign-Urbana,40.1109273,-88.2153942
krannert_center_for_the_performing_arts,Krannert Center for the Performing Arts,40.1080214,-88.2227462
krannert_view_2,Krannert View 2,40.1067483,-88.2224839
krannert_view_3,Krannert View 3,40.1062407,-88.2224628
kung_fu_bbq,Kung Fu BBQ,40.10936,-88.2308589
la_casa_cultural_latina,La Casa Cultural Latina,40.1057021,-88.2243519
land_of_lincoln_legal_assistance,Land of Lincoln Legal Assistance,40.1185654,-88.2385366
latitude_apartments,Latitude Apartments,40.1166401,-88.2297557
latitude_west,Latitude West,40.1166399,-88.2312896
legacy202,Legacy202,40.1082852,-88.2365554
legends,Legends,40.1105658,-88.2312395
leonard_hall,Leonard Hall,40.1045199,-88.2199332
levis_faculty_center,Levis Faculty Center,40.1086837,-88.2211231
lincoln_avenue_residence_halls,Lincoln Avenue Residence Halls,40.1041388,-88.2199526
lincoln_building,Lincoln Building,40.1174021,-88.2416629
lincoln_hall,Lincoln Hall,40.1066127,-88.2281809
lincoln_allen_dining_hall,Lincoln/Allen Dining Hall,40.1040914,-88.220425
literatures_cultures_linguistics_building,"Literatures, Cultures & Linguistics Building",40.1062804,-88.2261745
live_action_games,Live Action Games,40.1167959,-88.2419036
living_yoga_center,Living Yoga Center,40.1149283,-88.2385168
locks_of_glory,Locks of Glory,40.1171356,-88.2385211
lofts_54,Lofts 54,40.1068817,-88.2399247
loomis_laboratory_of_physics,Loomis Laboratory of Physics,40.1111055,-88.2232324
louise_freer_hall,Louise Freer Hall,40.104833,-88.2227302
lovers_playground,Lovers Playground,40.1123406,-88.2405672
lundgren_hall,Lundgren Hall,40.1039373,-88.2340472
m2_on_neil,M2 on Neil,40.1187431,-88.2439164
mhm_properties,MHM Properties,40.1141452,-88.2324723
main_library,Main Library,40.1047193,-88.2289898
maize,Maize,40.1014323,-88.2443689
manolo_s_pizza_empanadas,Manolo's Pizza & Empanadas,40.106824,-88.2235658
manzella_s,Manzella's,40.1158422,-88.2389889
materials_research_laboratory,Materials Research Laboratory,40.111665,-88.2230737
materials_science_engineering_building,Materials Science & Engineering Building,40.1109284,-88.2261035
mcdonald_s,McDonald's,40.0975248,-88.2452439
mcfarland_carillon_bell_tower,McFarland Carillon Bell Tower,40.1028309,-88.2271909
mckinley_health_center,McKinley Health Center,40.1027304,-88.2198829
meat_science_lab,Meat Science Lab,40.0994396,-88.2231034
mechanical_engineering_lab,Mechanical Engineering Lab,40.1117966,-88.2261556
medical_office_building,Medical Office Building,40.1171195,-88.2277467
medical_sciences_building,Medical Sciences Building,40.108563,-88.225172
merry_ann_s_diner,Merry Ann's Diner,40.0983917,-88.2442471
meyer_capel,Meyer Capel,40.1185404,-88.2476626
midtown_plaza_north,Midtown Plaza North,40.1138438,-88.2383703
midtown_plaza_south,Midtown Plaza South,40.1130368,-88.2382845
mike_williams,Mike Williams,40.0997442,-88.2441114
mittendorf_calvert,Mittendorf Calvert,40.100208,-88.2265031
morrill_hall,Morrill Hall,40.1087575,-88.2245595
mumford_hall,Mumford Hall,40.1036286,-88.2259567
mumford_house,Mumford House,40.1027187,-88.2276576
music_building,Music Building,40.1063853,-88.2232719
music_and_performing_arts_library,Music and Performing Arts Library,40.1066435,-88.2228805
ncsa_petascale_computing_facility,NCSA Petascale Computing Facility,40.0952591,-88.2420314
nika,NIKA,40.1077091,-88.2190065
ny_alts,NY Alts,40.1160539,-88.2376367
nando_milano,Nando Milano,40.1175372,-88.2433054
national_center_for_supercomputing_applications,National Center for Supercomputing Applications,40.1148266,-88.225004
national_soybean_research_center,National Soybean Research Center,40.1010825,-88.2225774
native_american_studies,Native American Studies,40.1061446,-88.224499
natural_history_building,Natural History Building,40.1094922,-88.2260305
natural_history_survey_green_house,Natural History Survey Green House,40.1007989,-88.22949
natural_resources_building,Natural Resources Building,40.1011368,-88.2290775
natural_resources_garage,Natural Resources Garage,40.1008403,-88.2285852
near_north_luxury_apartments,Near North Luxury Apartments,40.1161683,-88.2337838
nevada_building_computer_lab,Nevada Building Computer Lab,40.1055406,-88.2244506
newmark_civil_engineering_laboratory,Newmark Civil Engineering Laboratory,40.1139917,-88.2265465
nick_s_paints,Nick's Paints,40.1091072,-88.244704
niemanns,Niemanns,40.1130777,-88.2339659
nika_house,Nika House,40.1092295,-88.2373051
noble_hall,Noble Hall,40.1023222,-88.2341943
north_campus_parking_garage,North Campus Parking Garage,40.1158528,-88.2248948
noyes_laboratory,Noyes Laboratory,40.1084353,-88.2260913
nuera,NuEra,40.1104334,-88.2384818
nuclear_engineering_laboratory,Nuclear Engineering Laboratory,40.1117822,-88.2246253
nuclear_physics_lab,Nuclear Physics Lab,40.1021829,-88.2425913
nuclear_physics_lab_559791915,Nuclear Physics Lab,40.1022079,-88.2421607
nuclear_radiation_laboratory,Nuclear Radiation Laboratory,40.111223,-88.2244395
nugent_hall,Nugent Hall,40.1036086,-88.2365674
oak_street_library_facility,Oak Street Library Facility,40.1083561,-88.2419828
octave,Octave,40.1147119,-88.2330563
octave_1373411256,Octave,40.1151089,-88.2328246
office_for_the_protection_of_research_subjects,Office for the Protection of Research Subjects,40.1003854,-88.2181203
oglesby_hall,Oglesby Hall,40.0989364,-88.2215178
one_main,One Main,40.1184055,-88.2429816
optical_physics_engineering_building,Optical Physics Engineering Building,40.1113192,-88.2294897
orpheum_champaign,Orpheum Champaign,40.1194926,-88.2425488
papa_del_s,Papa Del's,40.1032431,-88.2441829
papa_john_s,Papa John's,40.1103857,-88.2380457
park_avenue_seventh_day_adventist_church,Park Avenue Seventh-Day Adventist Church,40.117616,-88.2356669
park_place_tower,Park Place Tower,40.1105181,-88.2367054
pawn_king,Pawn King,40.1167916,-88.2213265
peoples_performance_automotive,Peoples Performance Automotive,40.1146831,-88.239074
perkins,Perkins,40.1166463,-88.2254496
personal_services_building,Personal Services Building,40.1045826,-88.2404469
phi_gamma_delta,Phi Gamma Delta,40.1087406,-88.2365957
phi_kappa_tau,Phi Kappa Tau,40.1043849,-88.2341715
phi_kappa_theta,Phi Kappa Theta,40.1048382,-88.235219
phi_sigma_kappa_fraternity,Phi Sigma Kappa Fraternity,40.1061263,-88.2367192
physical_plant_service_building,Physical Plant Service Building,40.099197,-88.2425856
pi_beta_phi,Pi Beta Phi,40.1062482,-88.2293243
pi_kappa_alpha,Pi Kappa Alpha,40.1068051,-88.2383013
pi_kappa_phi,Pi Kappa Phi,40.1043141,-88.234831
pizzeria_antica,Pizzeria Antica,40.116863,-88.2429939
plant_mode,Plant Mode,40.1167997,-88.2427467
plant_sciences_laboratory_and_greenhouse,Plant Sciences Laboratory and Greenhouse,40.1022112,-88.2227107
plant_services_building_northeast,Plant Services Building – Northeast,40.1118134,-88.2213192
police_training_institute,Police Training Institute,40.1064249,-88.2330312
polyvinyl,Polyvinyl,40.1075326,-88.2440424
potbelly,Potbelly,40.110068,-88.2318662
pour_bros_taproom,Pour Bros. Taproom,40.1165876,-88.2415852
presby_hall,Presby Hall,40.108522,-88.2325598
press_box,Press Box,40.0965252,-88.2302199
printing_and_photographic_services,Printing and Photographic Services,40.1047394,-88.2398669
property_accounting_surplus_equipment,Property Accounting Surplus Equipment,40.096113,-88.2147123
prosperity_gardens,Prosperity Gardens,40.1188181,-88.2389907
psi_upsilon_fraternity,Psi Upsilon Fraternity,40.1051318,-88.233827
psychology_building,Psychology Building,40.1074769,-88.2299558
public_safety_building,Public Safety Building,40.1129935,-88.2234853
quality,Quality,40.1168538,-88.2432843
radio_doctors,Radio Doctors,40.1146271,-88.2381596
raising_cane_s,Raising Cane's,40.1100568,-88.232278
red_hair,Red Hair,40.1093834,-88.2306202
rex_and_alice_a_martin_softball_training_center,Rex and Alice A. Martin Softball Training Center,40.0974612,-88.2260813
rkooa_hair_design,Rkooa Hair Design,40.1104499,-88.2317289
robert_s,Robert's,40.1165739,-88.242165
robeson_s_inc,"Robeson's, Inc.",40.1150333,-88.2472588
rock_climbing_wall,Rock Climbing Wall,40.1003936,-88.2360016
roger_adams_laboratory,Roger Adams Laboratory,40.1074718,-88.224805
ron_s_campus_locksmith,Ron's Campus Locksmith,40.1104487,-88.2318521
rose_taylor,Rose & Taylor,40.1171801,-88.2385215
round_balconies,Round Balconies,40.1045941,-88.2379267
round_table_house_1,Round Table House 1,40.1117076,-88.2152984
rumours_hat_shoppe,Rumours Hat Shoppe,40.1155382,-88.2391035
safelite_autoglass,Safelite AutoGlass,40.1073826,-88.2438233
salem_baptist_church,Salem Baptist Church,40.1176275,-88.2316456
sam_s_cafe,Sam's Cafe,40.1169863,-88.2426694
sammy_s_fraternity,Sammy's Fraternity,40.1051316,-88.2352313
saunders_hall,Saunders Hall,40.099726,-88.2197961
school_of_labor_employment_relations,School of Labor & Employment Relations,40.1056463,-88.2315332
scoreboard,Scoreboard,40.0982796,-88.2359303
scoreboard_1164985613,Scoreboard,40.0951715,-88.2274036
scott_hall,Scott Hall,40.1020587,-88.2366708
sears_osborn_house,Sears Osborn House,40.1185679,-88.2159804
seven_saints,Seven Saints,40.1165577,-88.2419938
seven07,Seven07,40.1096041,-88.234111
shelden_hall,Shelden Hall,40.103752,-88.2199223
shelford_vivarium,Shelford Vivarium,40.1118534,-88.2296875
sherman_hall,Sherman Hall,40.1072086,-88.2327011
sidney_lu_mechanical_engineering_building,Sidney Lu Mechanical Engineering Building,40.1110054,-88.2247316
siebel_center_for_computer_science,Siebel Center for Computer Science,40.1140307,-88.2248176
siebel_center_for_design,Siebel Center for Design,40.1027361,-88.2324803
sigma_alpha_epsilon,Sigma Alpha Epsilon,40.1076542,-88.2356803
sigma_chi_fraternity_house,Sigma Chi Fraternity House,40.1094174,-88.2324577
sigma_delta_tau,Sigma Delta Tau,40.1062829,-88.2221217
sigma_kappa,Sigma Kappa,40.1087833,-88.234717
sigma_nu_fraternity,Sigma Nu Fraternity,40.100213,-88.2217043
sigma_phi_delta_fraternity,Sigma Phi Delta Fraternity,40.1043197,-88.235208
sigma_phi_epsilon_fraternity,Sigma Phi Epsilon Fraternity,40.1048423,-88.2337842
signature_grill,Signature Grill,40.1101083,-88.2313167
simplified_computers,Simplified Computers,40.1055473,-88.2436068
skelton_place,Skelton Place,40.114107,-88.2367143
smith_memorial_hall,Smith Memorial Hall,40.1057141,-88.2261115
smitty_s_car_wash,Smitty's Car Wash,40.0957171,-88.2454544
snyder_hall,Snyder Hall,40.1022214,-88.2351345
solon_house,Solon House,40.1113144,-88.2473481
sooie_bros,Sooie Bros.,40.097743,-88.2457321
soybean_cyst_nematode_research_building,Soybean Cyst/Nematode Research Building,40.1028454,-88.2228595
speed_lube,Speed Lube,40.1159797,-88.2347366
springer_cultural_center,Springer Cultural Center,40.118545,-88.245571
spritz_jewelers,Spritz Jewelers,40.1176442,-88.2438964
spurlock_museum,Spurlock Museum,40.1076255,-88.2207857
st_john_s_catholic_newman_center,St John's Catholic Newman Center,40.1061291,-88.2298833
st_john_bosco_convent,St. John Bosco Convent,40.1060655,-88.2307608
st_john_s_chapel,St. John's Chapel,40.1057699,-88.230041
st_john_s_rectory,St. John's Rectory,40.1058463,-88.2307076
st_mary_catholic_church,St. Mary Catholic Church,40.1177048,-88.2295568
st_patrick_catholic_church,St. Patrick Catholic Church,40.11469,-88.216954
state_farm_center,State Farm Center,40.0962904,-88.2359038
station_a_post_office,Station A Post Office,40.1104998,-88.2351569
steak_n_shake,Steak 'n Shake,40.0949617,-88.2458461
steven_s_wymer_hall,Steven S. Wymer Hall,40.1035347,-88.2318329
stipes_publishing,Stipes Publishing,40.1166192,-88.2457587
stock_pavilion,Stock Pavilion,40.1010228,-88.227191
stone_creek_church,Stone Creek Church,40.1130294,-88.2204334
stoughton_place,Stoughton Place,40.1134434,-88.2165928
student_dining_and_residential_programs_sdrp,Student Dining and Residential Programs (SDRP),40.1036199,-88.2352136
student_services_arcade_building,Student Services Arcade Building,40.1097324,-88.229445
subway,Subway,40.1167105,-88.2176717
superconductivity_center,Superconductivity Center,40.1121133,-88.2233351
susan_and_clint_atkins_baseball_training_center,Susan and Clint Atkins Baseball Training Center,40.0971988,-88.230917
swanlund_administration_building,Swanlund Administration Building,40.1088257,-88.2300367
taco_bell,Taco Bell,40.1162228,-88.2211233
taco_bell_638310491,Taco Bell,40.0954573,-88.2455542
taft_hall,Taft Hall,40.1021222,-88.2337038
taft_house,Taft House,40.1002715,-88.2232165
talbot_laboratory,Talbot Laboratory,40.1118434,-88.2282766
tau_kappa_epsilon_senior_house,Tau Kappa Epsilon Senior House,40.105529,-88.2412789
temple_hoyne_buell_hall,Temple Hoyne Buell Hall,40.1020817,-88.2281101
tepper_electric,Tepper Electric,40.1096096,-88.2430394
the_axe_bar,The Axe Bar,40.1157166,-88.2432218
the_beach_sun_spa,The Beach Sun & Spa,40.109247,-88.231855
the_brake_shop,The Brake Shop,40.1132016,-88.2426892
the_caffeine_rx,The Caffeine Rx,40.1169079,-88.2427013
the_chapel_of_saint_john_the_divine,The Chapel of Saint John the Divine,40.1056226,-88.2292166
the_church_of_jesus_christ_of_latter_day_saints_institute_of_rel,The Church of Jesus Christ of Latter-day Saints Institute of Religion,40.1096722,-88.2189628
the_city_center,The City Center,40.1110884,-88.2427491
the_dean,The Dean,40.1098552,-88.2300953
the_den_hair_emporium,The Den Hair Emporium,40.1158837,-88.242202
the_den_on_university,The Den on University,40.1161273,-88.2219178
the_georgian,The Georgian,40.1062417,-88.2307527
the_greystone_mansion,The Greystone Mansion,40.1154944,-88.2291148
the_inman,The Inman,40.1160516,-88.2424887
the_joseph_royer_house,The Joseph Royer House,40.1071956,-88.217985
the_literary,The Literary,40.1172758,-88.2432506
the_nevadan,The Nevadan,40.1057592,-88.2196609
the_parkview,The Parkview,40.1160316,-88.2475227
the_red_lion,The Red Lion,40.1099694,-88.2356395
the_reed_sutton_house,The Reed-Sutton House,40.1021426,-88.217861
the_ribeye,The Ribeye,40.0961587,-88.245412
the_rive_champaign,The Rive Champaign,40.1105268,-88.2359949
the_smith_russell_house,The Smith-Russell House,40.1025367,-88.2178519
the_station,The Station,40.1168738,-88.2406294
the_suites_at_third,The Suites at Third,40.1093649,-88.2359994
the_tower_at_third,The Tower at Third,40.1093171,-88.2348636
the_university_group,The University Group,40.1132681,-88.2389929
theta_xi_fraternity,Theta Xi Fraternity,40.1050518,-88.2369332
timpones,Timpones,40.1063908,-88.2236214
towneplace_suites,TownePlace Suites,40.1106017,-88.2309369
townsend_hall,Townsend Hall,40.1098439,-88.2209232
transportation_building,Transportation Building,40.1116928,-88.2251991
trelease_hall,Trelease Hall,40.0989559,-88.2203506
tri_color_locksmith,Tri-Color Locksmith,40.1166906,-88.220912
triangle_fraternity,Triangle Fraternity,40.1082071,-88.2375
tumble_inn_tavern,Tumble Inn Tavern,40.1137612,-88.2431165
turner_hall,Turner Hall,40.1029621,-88.224233
turner_hall_greenhouse,Turner Hall Greenhouse,40.1020371,-88.2240197
turner_student_services_building,Turner Student Services Building,40.10936,-88.2298962
twice_is_nice,Twice is Nice,40.1112665,-88.2154085
twin_city_bible_church,Twin City Bible Church,40.1022117,-88.2185956
twin_city_equipment,Twin City Equipment,40.1157586,-88.2401907
u_haul,U-Haul,40.1166341,-88.2346051
ui_president_s_residence,UI President's Residence,40.0976132,-88.21684
ubben_basketball_facility,Ubben Basketball Facility,40.0955836,-88.2313539
uni_high_gym,Uni High Gym,40.1132798,-88.2247127
university_food_and_liquor,University Food and Liquor,40.1159307,-88.2465261
university_laboratory_high_school,University Laboratory High School,40.1131368,-88.2252616
university_lutheran_church,University Lutheran Church,40.1071071,-88.2299781
university_press_building,University Press Building,40.100674,-88.2430494
university_ymca,University YMCA,40.1065756,-88.2292494
university_of_illinois_college_of_law,University of Illinois College of Law,40.1010079,-88.2316031
university_of_illinois_observatory,University of Illinois Observatory,40.1051839,-88.2260548
urbana_commons,Urbana Commons,40.1125902,-88.2186624
urbana_commons_245375051,Urbana Commons,40.1125265,-88.2190098
urbana_commons_3317417,Urbana Commons,40.1125464,-88.2181041
vue,VUE,40.1092555,-88.2341249
van_doren_hall,Van Doren Hall,40.1017602,-88.2339276
ven_te_chow_hydrosystems_laboratory,Ven Te Chow Hydrosystems Laboratory,40.1147405,-88.2261007
vinny_s_by_the_slice_more,Vinny's By The Slice & More,40.1105137,-88.240021
virginia_theater,Virginia Theater,40.116998,-88.2455428
wcia,WCIA,40.1108243,-88.2440519
weft_90_1_community_radio,WEFT 90.1 Community Radio,40.1168442,-88.241872
walgreens,Walgreens,40.0986171,-88.2451658
walgreens_209297299,Walgreens,40.109979,-88.2327234
wardall_hall,Wardall Hall,40.1094881,-88.2217569
wassaja_hall,Wassaja Hall,40.1034877,-88.2379581
watson_s_shack_and_rail,Watson's Shack and Rail,40.117738,-88.2438969
wesley_campus_ministries,Wesley Campus Ministries,40.1101659,-88.2244338
wesley_united_methodist_church,Wesley United Methodist Church,40.1098505,-88.2249285
weston_hall,Weston Hall,40.1029948,-88.235307
windstream_communications,Windstream Communications,40.1110469,-88.2316081
wohlers_hall,Wohlers Hall,40.1036025,-88.2297403
wolfe_school,Wolfe School,40.1112182,-88.2331695
wolfram_research,Wolfram Research,40.0972655,-88.2458336
wolfram_research_shipping_receiving,Wolfram Research Shipping & Receiving,40.1104279,-88.2448305
wood_engineering_laboratory,Wood Engineering Laboratory,40.1020577,-88.2258462
wright_view,Wright View,40.115038,-88.2292531
yeh_student_center,Yeh Student Center,40.1141664,-88.2261077
yugo_urbana_illinois,Yugo Urbana Illinois,40.1159145,-88.2184242
zarbuck_chiropractic_clinic,Zarbuck Chiropractic Clinic,40.1126099,-88.2174109
zeta_tau_alpha_sorority_house,Zeta Tau Alpha Sorority House,40.100083,-88.2184269
